state_id,probe_action,successor_valid,successor_s,successor_v,successor_mode,lane_change_elapsed
block_nec_r2,U4,1,4.0,2.0,1,1.0
block_nec_r2,U5,1,5.0,4.0,1,1.0
block_nec_r2,U6,1,6.0,6.0,1,1.0
block_nec_r2,U7,1,6.75,7.5,1,1.0
block_nec_r3,U0,1,5.0,3.0,0,0.0
block_nec_r3,U1,1,6.0,5.0,0,0.0
block_nec_r3,U2,1,7.0,7.0,0,0.0
block_nec_r3,U3,1,7.75,8.5,0,0.0
block_nec_r3,U4,1,5.0,3.0,1,1.0
block_nec_r3,U5,1,6.0,5.0,1,1.0
block_nec_r3,U6,1,7.0,7.0,1,1.0
block_nec_r3,U7,1,7.75,8.5,1,1.0
block_nec_r4,U0,1,5.0,3.0,0,0.0
block_nec_r4,U1,1,6.0,5.0,0,0.0
block_nec_r4,U2,1,7.0,7.0,0,0.0
block_nec_r4,U3,1,7.75,8.5,0,0.0
block_nec_r4,U4,1,5.0,3.0,1,1.0
block_nec_r4,U5,1,6.0,5.0,1,1.0
block_nec_r4,U6,1,7.0,7.0,1,1.0
block_nec_r4,U7,1,7.75,8.5,1,1.0
block_nec_r5,U0,1,6.0,4.0,0,0.0
block_nec_r5,U1,1,7.0,6.0,0,0.0
block_nec_r5,U2,1,8.0,8.0,0,0.0
block_nec_r5,U3,1,8.75,9.5,0,0.0
block_nec_r5,U4,1,6.0,4.0,1,1.0
block_nec_r5,U5,1,7.0,6.0,1,1.0
block_nec_r5,U6,1,8.0,8.0,1,1.0
block_nec_r5,U7,1,8.75,9.5,1,1.0
block_nec_r6,U0,1,6.0,4.0,0,0.0
block_nec_r6,U1,1,7.0,6.0,0,0.0
block_nec_r6,U2,1,8.0,8.0,0,0.0
block_nec_r6,U3,1,8.75,9.5,0,0.0
block_nec_r6,U4,1,6.0,4.0,1,1.0
block_nec_r6,U5,1,7.0,6.0,1,1.0
block_nec_r6,U6,1,8.0,8.0,1,1.0
block_nec_r6,U7,1,8.75,9.5,1,1.0
block_nec_r7,U0,1,6.0,4.0,0,0.0
block_nec_r7,U1,1,7.0,6.0,0,0.0
block_nec_r7,U2,1,8.0,8.0,0,0.0
block_nec_r7,U3,1,8.75,9.5,0,0.0
block_nec_r7,U4,1,6.0,4.0,1,1.0
block_nec_r7,U5,1,7.0,6.0,1,1.0
block_nec_r7,U6,1,8.0,8.0,1,1.0
block_nec_r7,U7,1,8.75,9.5,1,1.0
block_nec_r8,U0,1,7.0,5.0,0,0.0
block_nec_r8,U1,1,8.0,7.0,0,0.0
block_nec_r8,U2,1,9.0,9.0,0,0.0
block_nec_r8,U3,1,9.75,10.5,0,0.0
block_nec_r8,U4,1,7.0,5.0,1,1.0
block_nec_r8,U5,1,8.0,7.0,1,1.0
block_nec_r8,U6,1,9.0,9.0,1,1.0
block_nec_r8,U7,1,9.75,10.5,1,1.0
block_nec_r9,U0,1,7.0,5.0,0,0.0
block_nec_r9,U1,1,8.0,7.0,0,0.0
block_nec_r9,U2,1,9.0,9.0,0,0.0
block_nec_r9,U3,1,9.75,10.5,0,0.0
block_nec_r9,U4,1,7.0,5.0,1,1.0
block_nec_r9,U5,1,8.0,7.0,1,1.0
block_nec_r9,U6,1,9.0,9.0,1,1.0
block_nec_r9,U7,1,9.75,10.5,1,1.0
cross_clear_r1,U0,1,4.0,2.0,0,0.0
cross_clear_r1,U1,1,5.0,4.0,0,0.0
cross_clear_r1,U2,1,6.0,6.0,0,0.0
cross_clear_r1,U3,1,6.75,7.5,0,0.0
cross_clear_r1,U4,1,4.0,2.0,1,1.0
cross_clear_r1,U5,1,5.0,4.0,1,1.0
cross_clear_r1,U6,1,6.0,6.0,1,1.0
cross_clear_r1,U7,1,6.75,7.5,1,1.0
cross_clear_r10,U0,1,6.0,4.0,0,0.0
cross_clear_r10,U1,1,7.0,6.0,0,0.0
cross_clear_r10,U2,1,8.0,8.0,0,0.0
cross_clear_r10,U3,1,8.75,9.5,0,0.0
cross_clear_r10,U4,1,6.0,4.0,1,1.0
cross_clear_r10,U5,1,7.0,6.0,1,1.0
cross_clear_r10,U6,1,8.0,8.0,1,1.0
cross_clear_r10,U7,1,8.75,9.5,1,1.0
cross_clear_r11,U0,1,6.0,4.0,0,0.0
cross_clear_r11,U1,1,7.0,6.0,0,0.0
cross_clear_r11,U2,1,8.0,8.0,0,0.0
cross_clear_r11,U3,1,8.75,9.5,0,0.0
cross_clear_r11,U4,1,6.0,4.0,1,1.0
cross_clear_r11,U5,1,7.0,6.0,1,1.0
cross_clear_r11,U6,1,8.0,8.0,1,1.0
cross_clear_r11,U7,1,8.75,9.5,1,1.0
cross_clear_r12,U0,1,6.0,4.0,0,0.0
cross_clear_r12,U1,1,7.0,6.0,0,0.0
cross_clear_r12,U2,1,8.0,8.0,0,0.0
cross_clear_r12,U3,1,8.75,9.5,0,0.0
cross_clear_r12,U4,1,6.0,4.0,1,1.0
cross_clear_r12,U5,1,7.0,6.0,1,1.0
cross_clear_r12,U6,1,8.0,8.0,1,1.0
cross_clear_r12,U7,1,8.75,9.5,1,1.0
cross_clear_r2,U0,1,4.0,2.0,0,0.0
cross_clear_r2,U1,1,5.0,4.0,0,0.0
cross_clear_r2,U2,1,6.0,6.0,0,0.0
cross_clear_r2,U3,1,6.75,7.5,0,0.0
cross_clear_r2,U4,1,4.0,2.0,1,1.0
cross_clear_r2,U5,1,5.0,4.0,1,1.0
cross_clear_r2,U6,1,6.0,6.0,1,1.0
cross_clear_r2,U7,1,6.75,7.5,1,1.0
cross_clear_r3,U0,1,4.0,2.0,0,0.0
cross_clear_r3,U1,1,5.0,4.0,0,0.0
cross_clear_r3,U2,1,6.0,6.0,0,0.0
cross_clear_r3,U3,1,6.75,7.5,0,0.0
cross_clear_r3,U4,1,4.0,2.0,1,1.0
cross_clear_r3,U5,1,5.0,4.0,1,1.0
cross_clear_r3,U6,1,6.0,6.0,1,1.0
cross_clear_r3,U7,1,6.75,7.5,1,1.0
cross_clear_r4,U0,1,4.0,2.0,0,0.0
cross_clear_r4,U1,1,5.0,4.0,0,0.0
cross_clear_r4,U2,1,6.0,6.0,0,0.0
cross_clear_r4,U3,1,6.75,7.5,0,0.0
cross_clear_r4,U4,1,4.0,2.0,1,1.0
cross_clear_r4,U5,1,5.0,4.0,1,1.0
cross_clear_r4,U6,1,6.0,6.0,1,1.0
cross_clear_r4,U7,1,6.75,7.5,1,1.0
cross_clear_r5,U0,1,5.0,3.0,0,0.0
cross_clear_r5,U1,1,6.0,5.0,0,0.0
cross_clear_r5,U2,1,7.0,7.0,0,0.0
cross_clear_r5,U3,1,7.75,8.5,0,0.0
cross_clear_r5,U4,1,5.0,3.0,1,1.0
cross_clear_r5,U5,1,6.0,5.0,1,1.0
cross_clear_r5,U6,1,7.0,7.0,1,1.0
cross_clear_r5,U7,1,7.75,8.5,1,1.0
cross_clear_r6,U0,1,5.0,3.0,0,0.0
cross_clear_r6,U1,1,6.0,5.0,0,0.0
cross_clear_r6,U2,1,7.0,7.0,0,0.0
cross_clear_r6,U3,1,7.75,8.5,0,0.0
cross_clear_r6,U4,1,5.0,3.0,1,1.0
cross_clear_r6,U5,1,6.0,5.0,1,1.0
cross_clear_r6,U6,1,7.0,7.0,1,1.0
cross_clear_r6,U7,1,7.75,8.5,1,1.0
cross_clear_r7,U0,1,5.0,3.0,0,0.0
cross_clear_r7,U1,1,6.0,5.0,0,0.0
cross_clear_r7,U2,1,7.0,7.0,0,0.0
cross_clear_r7,U3,1,7.75,8.5,0,0.0
cross_clear_r7,U4,1,5.0,3.0,1,1.0
cross_clear_r7,U5,1,6.0,5.0,1,1.0
cross_clear_r7,U6,1,7.0,7.0,1,1.0
cross_clear_r7,U7,1,7.75,8.5,1,1.0
cross_clear_r8,U0,1,5.0,3.0,0,0.0
cross_clear_r8,U1,1,6.0,5.0,0,0.0
cross_clear_r8,U2,1,7.0,7.0,0,0.0
cross_clear_r8,U3,1,7.75,8.5,0,0.0
cross_clear_r8,U4,1,5.0,3.0,1,1.0
cross_clear_r8,U5,1,6.0,5.0,1,1.0
cross_clear_r8,U6,1,7.0,7.0,1,1.0
cross_clear_r8,U7,1,7.75,8.5,1,1.0
cross_clear_r9,U0,1,6.0,4.0,0,0.0
cross_clear_r9,U1,1,7.0,6.0,0,0.0
cross_clear_r9,U2,1,8.0,8.0,0,0.0
cross_clear_r9,U3,1,8.75,9.5,0,0.0
cross_clear_r9,U4,1,6.0,4.0,1,1.0
cross_clear_r9,U5,1,7.0,6.0,1,1.0
cross_clear_r9,U6,1,8.0,8.0,1,1.0
cross_clear_r9,U7,1,8.75,9.5,1,1.0
cross_stall_r1,U0,1,4.0,2.0,0,0.0
cross_stall_r1,U1,1,5.0,4.0,0,0.0
cross_stall_r1,U2,1,6.0,6.0,0,0.0
cross_stall_r1,U3,1,6.75,7.5,0,0.0
cross_stall_r1,U4,1,4.0,2.0,1,1.0
cross_stall_r1,U5,1,5.0,4.0,1,1.0
cross_stall_r1,U6,1,6.0,6.0,1,1.0
cross_stall_r1,U7,1,6.75,7.5,1,1.0
cross_stall_r10,U0,1,5.0,3.0,0,0.0
cross_stall_r10,U1,1,6.0,5.0,0,0.0
cross_stall_r10,U2,1,7.0,7.0,0,0.0
cross_stall_r10,U3,1,7.75,8.5,0,0.0
cross_stall_r10,U4,1,5.0,3.0,1,1.0
cross_stall_r10,U5,1,6.0,5.0,1,1.0
cross_stall_r10,U6,1,7.0,7.0,1,1.0
cross_stall_r10,U7,1,7.75,8.5,1,1.0
cross_stall_r11,U0,1,6.0,4.0,0,0.0
cross_stall_r11,U1,1,7.0,6.0,0,0.0
cross_stall_r11,U2,1,8.0,8.0,0,0.0
cross_stall_r11,U3,1,8.75,9.5,0,0.0
cross_stall_r11,U4,1,6.0,4.0,1,1.0
cross_stall_r11,U5,1,7.0,6.0,1,1.0
cross_stall_r11,U6,1,8.0,8.0,1,1.0
cross_stall_r11,U7,1,8.75,9.5,1,1.0
cross_stall_r12,U0,1,6.0,4.0,0,0.0
cross_stall_r12,U1,1,7.0,6.0,0,0.0
cross_stall_r12,U2,1,8.0,8.0,0,0.0
cross_stall_r12,U3,1,8.75,9.5,0,0.0
cross_stall_r12,U4,1,6.0,4.0,1,1.0
cross_stall_r12,U5,1,7.0,6.0,1,1.0
cross_stall_r12,U6,1,8.0,8.0,1,1.0
cross_stall_r12,U7,1,8.75,9.5,1,1.0
cross_stall_r2,U0,1,4.0,2.0,0,0.0
cross_stall_r2,U1,1,5.0,4.0,0,0.0
cross_stall_r2,U2,1,6.0,6.0,0,0.0
cross_stall_r2,U3,1,6.75,7.5,0,0.0
cross_stall_r2,U4,1,4.0,2.0,1,1.0
cross_stall_r2,U5,1,5.0,4.0,1,1.0
cross_stall_r2,U6,1,6.0,6.0,1,1.0
cross_stall_r2,U7,1,6.75,7.5,1,1.0
cross_stall_r3,U0,1,5.0,3.0,0,0.0
cross_stall_r3,U1,1,6.0,5.0,0,0.0
cross_stall_r3,U2,1,7.0,7.0,0,0.0
cross_stall_r3,U3,1,7.75,8.5,0,0.0
cross_stall_r3,U4,1,5.0,3.0,1,1.0
cross_stall_r3,U5,1,6.0,5.0,1,1.0
cross_stall_r3,U6,1,7.0,7.0,1,1.0
cross_stall_r3,U7,1,7.75,8.5,1,1.0
cross_stall_r4,U0,1,5.0,3.0,0,0.0
cross_stall_r4,U1,1,6.0,5.0,0,0.0
cross_stall_r4,U2,1,7.0,7.0,0,0.0
cross_stall_r4,U3,1,7.75,8.5,0,0.0
cross_stall_r4,U4,1,5.0,3.0,1,1.0
cross_stall_r4,U5,1,6.0,5.0,1,1.0
cross_stall_r4,U6,1,7.0,7.0,1,1.0
cross_stall_r4,U7,1,7.75,8.5,1,1.0
cross_stall_r5,U0,1,6.0,4.0,0,0.0
cross_stall_r5,U1,1,7.0,6.0,0,0.0
cross_stall_r5,U2,1,8.0,8.0,0,0.0
cross_stall_r5,U3,1,8.75,9.5,0,0.0
cross_stall_r5,U4,1,6.0,4.0,1,1.0
cross_stall_r5,U5,1,7.0,6.0,1,1.0
cross_stall_r5,U6,1,8.0,8.0,1,1.0
cross_stall_r5,U7,1,8.75,9.5,1,1.0
cross_stall_r6,U0,1,6.0,4.0,0,0.0
cross_stall_r6,U1,1,7.0,6.0,0,0.0
cross_stall_r6,U2,1,8.0,8.0,0,0.0
cross_stall_r6,U3,1,8.75,9.5,0,0.0
cross_stall_r6,U4,1,6.0,4.0,1,1.0
cross_stall_r6,U5,1,7.0,6.0,1,1.0
cross_stall_r6,U6,1,8.0,8.0,1,1.0
cross_stall_r6,U7,1,8.75,9.5,1,1.0
cross_stall_r7,U0,1,4.0,2.0,0,0.0
cross_stall_r7,U1,1,5.0,4.0,0,0.0
cross_stall_r7,U2,1,6.0,6.0,0,0.0
cross_stall_r7,U3,1,6.75,7.5,0,0.0
cross_stall_r7,U4,1,4.0,2.0,1,1.0
cross_stall_r7,U5,1,5.0,4.0,1,1.0
cross_stall_r7,U6,1,6.0,6.0,1,1.0
cross_stall_r7,U7,1,6.75,7.5,1,1.0
cross_stall_r8,U0,1,4.0,2.0,0,0.0
cross_stall_r8,U1,1,5.0,4.0,0,0.0
cross_stall_r8,U2,1,6.0,6.0,0,0.0
cross_stall_r8,U3,1,6.75,7.5,0,0.0
cross_stall_r8,U4,1,4.0,2.0,1,1.0
cross_stall_r8,U5,1,5.0,4.0,1,1.0
cross_stall_r8,U6,1,6.0,6.0,1,1.0
cross_stall_r8,U7,1,6.75,7.5,1,1.0
cross_stall_r9,U0,1,5.0,3.0,0,0.0
cross_stall_r9,U1,1,6.0,5.0,0,0.0
cross_stall_r9,U2,1,7.0,7.0,0,0.0
cross_stall_r9,U3,1,7.75,8.5,0,0.0
cross_stall_r9,U4,1,5.0,3.0,1,1.0
cross_stall_r9,U5,1,6.0,5.0,1,1.0
cross_stall_r9,U6,1,7.0,7.0,1,1.0
cross_stall_r9,U7,1,7.75,8.5,1,1.0
cross_stall_occ_r1,U0,1,4.0,2.0,0,0.0
cross_stall_occ_r1,U1,1,5.0,4.0,0,0.0
cross_stall_occ_r1,U2,1,6.0,6.0,0,0.0
cross_stall_occ_r1,U3,1,6.75,7.5,0,0.0
cross_stall_occ_r1,U4,1,4.0,2.0,1,1.0
cross_stall_occ_r1,U5,1,5.0,4.0,1,1.0
cross_stall_occ_r1,U6,1,6.0,6.0,1,1.0
cross_stall_occ_r1,U7,1,6.75,7.5,1,1.0
cross_stall_occ_r10,U0,1,5.0,3.0,0,0.0
cross_stall_occ_r10,U1,1,6.0,5.0,0,0.0
cross_stall_occ_r10,U2,1,7.0,7.0,0,0.0
cross_stall_occ_r10,U3,1,7.75,8.5,0,0.0
cross_stall_occ_r10,U4,1,5.0,3.0,1,1.0
cross_stall_occ_r10,U5,1,6.0,5.0,1,1.0
cross_stall_occ_r10,U6,1,7.0,7.0,1,1.0
cross_stall_occ_r10,U7,1,7.75,8.5,1,1.0
cross_stall_occ_r11,U0,1,6.0,4.0,0,0.0
cross_stall_occ_r11,U1,1,7.0,6.0,0,0.0
cross_stall_occ_r11,U2,1,8.0,8.0,0,0.0
cross_stall_occ_r11,U3,1,8.75,9.5,0,0.0
cross_stall_occ_r11,U4,1,6.0,4.0,1,1.0
cross_stall_occ_r11,U5,1,7.0,6.0,1,1.0
cross_stall_occ_r11,U6,1,8.0,8.0,1,1.0
cross_stall_occ_r11,U7,1,8.75,9.5,1,1.0
cross_stall_occ_r12,U0,1,6.0,4.0,0,0.0
cross_stall_occ_r12,U1,1,7.0,6.0,0,0.0
cross_stall_occ_r12,U2,1,8.0,8.0,0,0.0
cross_stall_occ_r12,U3,1,8.75,9.5,0,0.0
cross_stall_occ_r12,U4,1,6.0,4.0,1,1.0
cross_stall_occ_r12,U5,1,7.0,6.0,1,1.0
cross_stall_occ_r12,U6,1,8.0,8.0,1,1.0
cross_stall_occ_r12,U7,1,8.75,9.5,1,1.0
cross_stall_occ_r2,U0,1,4.0,2.0,0,0.0
cross_stall_occ_r2,U1,1,5.0,4.0,0,0.0
cross_stall_occ_r2,U2,1,6.0,6.0,0,0.0
cross_stall_occ_r2,U3,1,6.75,7.5,0,0.0
cross_stall_occ_r2,U4,1,4.0,2.0,1,1.0
cross_stall_occ_r2,U5,1,5.0,4.0,1,1.0
cross_stall_occ_r2,U6,1,6.0,6.0,1,1.0
cross_stall_occ_r2,U7,1,6.75,7.5,1,1.0
cross_stall_occ_r3,U0,1,5.0,3.0,0,0.0
cross_stall_occ_r3,U1,1,6.0,5.0,0,0.0
cross_stall_occ_r3,U2,1,7.0,7.0,0,0.0
cross_stall_occ_r3,U3,1,7.75,8.5,0,0.0
cross_stall_occ_r3,U4,1,5.0,3.0,1,1.0
cross_stall_occ_r3,U5,1,6.0,5.0,1,1.0
cross_stall_occ_r3,U6,1,7.0,7.0,1,1.0
cross_stall_occ_r3,U7,1,7.75,8.5,1,1.0
cross_stall_occ_r4,U0,1,5.0,3.0,0,0.0
cross_stall_occ_r4,U1,1,6.0,5.0,0,0.0
cross_stall_occ_r4,U2,1,7.0,7.0,0,0.0
cross_stall_occ_r4,U3,1,7.75,8.5,0,0.0
cross_stall_occ_r4,U4,1,5.0,3.0,1,1.0
cross_stall_occ_r4,U5,1,6.0,5.0,1,1.0
cross_stall_occ_r4,U6,1,7.0,7.0,1,1.0
cross_stall_occ_r4,U7,1,7.75,8.5,1,1.0
cross_stall_occ_r5,U0,1,6.0,4.0,0,0.0
cross_stall_occ_r5,U1,1,7.0,6.0,0,0.0
cross_stall_occ_r5,U2,1,8.0,8.0,0,0.0
cross_stall_occ_r5,U3,1,8.75,9.5,0,0.0
cross_stall_occ_r5,U4,1,6.0,4.0,1,1.0
cross_stall_occ_r5,U5,1,7.0,6.0,1,1.0
cross_stall_occ_r5,U6,1,8.0,8.0,1,1.0
cross_stall_occ_r5,U7,1,8.75,9.5,1,1.0
cross_stall_occ_r6,U0,1,6.0,4.0,0,0.0
cross_stall_occ_r6,U1,1,7.0,6.0,0,0.0
cross_stall_occ_r6,U2,1,8.0,8.0,0,0.0
cross_stall_occ_r6,U3,1,8.75,9.5,0,0.0
cross_stall_occ_r6,U4,1,6.0,4.0,1,1.0
cross_stall_occ_r6,U5,1,7.0,6.0,1,1.0
cross_stall_occ_r6,U6,1,8.0,8.0,1,1.0
cross_stall_occ_r6,U7,1,8.75,9.5,1,1.0
cross_stall_occ_r7,U0,1,4.0,2.0,0,0.0
cross_stall_occ_r7,U1,1,5.0,4.0,0,0.0
cross_stall_occ_r7,U2,1,6.0,6.0,0,0.0
cross_stall_occ_r7,U3,1,6.75,7.5,0,0.0
cross_stall_occ_r7,U4,1,4.0,2.0,1,1.0
cross_stall_occ_r7,U5,1,5.0,4.0,1,1.0
cross_stall_occ_r7,U6,1,6.0,6.0,1,1.0
cross_stall_occ_r7,U7,1,6.75,7.5,1,1.0
cross_stall_occ_r8,U0,1,4.0,2.0,0,0.0
cross_stall_occ_r8,U1,1,5.0,4.0,0,0.0
cross_stall_occ_r8,U2,1,6.0,6.0,0,0.0
cross_stall_occ_r8,U3,1,6.75,7.5,0,0.0
cross_stall_occ_r8,U4,1,4.0,2.0,1,1.0
cross_stall_occ_r8,U5,1,5.0,4.0,1,1.0
cross_stall_occ_r8,U6,1,6.0,6.0,1,1.0
cross_stall_occ_r8,U7,1,6.75,7.5,1,1.0
cross_stall_occ_r9,U0,1,5.0,3.0,0,0.0
cross_stall_occ_r9,U1,1,6.0,5.0,0,0.0
cross_stall_occ_r9,U2,1,7.0,7.0,0,0.0
cross_stall_occ_r9,U3,1,7.75,8.5,0,0.0
cross_stall_occ_r9,U4,1,5.0,3.0,1,1.0
cross_stall_occ_r9,U5,1,6.0,5.0,1,1.0
cross_stall_occ_r9,U6,1,7.0,7.0,1,1.0
cross_stall_occ_r9,U7,1,7.75,8.5,1,1.0
lead_cont_r1,U0,1,4.0,2.0,0,0.0
lead_cont_r1,U1,1,5.0,4.0,0,0.0
lead_cont_r1,U2,1,6.0,6.0,0,0.0
lead_cont_r1,U3,1,6.75,7.5,0,0.0
lead_cont_r1,U4,1,4.0,2.0,1,1.0
lead_cont_r1,U5,1,5.0,4.0,1,1.0
lead_cont_r1,U6,1,6.0,6.0,1,1.0
lead_cont_r1,U7,1,6.75,7.5,1,1.0
lead_cont_r10,U0,1,7.0,5.0,0,0.0
lead_cont_r10,U1,1,8.0,7.0,0,0.0
lead_cont_r10,U2,1,9.0,9.0,0,0.0
lead_cont_r10,U3,1,9.75,10.5,0,0.0
lead_cont_r10,U4,1,7.0,5.0,1,1.0
