route,config_name,scenario_group,frame,scenario_progress,num_dynamic_actors,dominant_actor_id,dominant_token_idx,D1,D2,D1_D2_ratio,pass_D1,pass_ratio,single_dominant,snapshot_path
route10,ParkingCutIn_3,ParkingCutIn,21268,-1,37,4017,1,0.11929,0.04772,2.386,0,1,0,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021268.npz
route10,ParkingCutIn_3,ParkingCutIn,21272,-1,37,4017,1,0.07177,0.05558,1.291,0,0,0,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021272.npz
route10,ParkingCutIn_3,ParkingCutIn,21276,-1,38,4968,10,0.0565,0.04032,1.13,0,0,0,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021276.npz
route10,ParkingCutIn_3,ParkingCutIn,21280,-1,36,4017,1,0.05238,0.04578,1.048,0,0,0,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021280.npz
route10,ParkingCutIn_3,ParkingCutIn,21284,-1,37,4017,1,0.1766,0.08536,2.069,0,1,0,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021284.npz
route10,ParkingCutIn_3,ParkingCutIn,21288,-1,37,4017,1,0.18423,0.12319,1.495,0,0,0,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021288.npz
route10,ParkingCutIn_3,ParkingCutIn,21292,-1,35,4017,1,0.22715,0.14613,1.554,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021292.npz
route10,ParkingCutIn_3,ParkingCutIn,21296,-1,35,4017,1,0.48347,0.14558,3.321,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021296.npz
route10,ParkingCutIn_3,ParkingCutIn,21300,-1,33,4017,1,0.82437,0.1705,4.835,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021300.npz
route10,ParkingCutIn_3,ParkingCutIn,21304,-1,35,4017,1,2.20669,0.2295,9.615,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021304.npz
route10,ParkingCutIn_3,ParkingCutIn,21308,-1,35,4017,1,3.7347,0.35348,10.566,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021308.npz
route10,ParkingCutIn_3,ParkingCutIn,21312,-1,33,4017,1,4.67179,0.32961,14.174,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021312.npz
route10,ParkingCutIn_3,ParkingCutIn,21316,-1,34,4017,1,5.47796,0.50093,10.936,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021316.npz
route10,ParkingCutIn_3,ParkingCutIn,21320,-1,35,4017,1,5.74719,0.45314,12.683,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021320.npz
route10,ParkingCutIn_3,ParkingCutIn,21324,-1,36,4017,1,5.66404,0.37901,14.944,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021324.npz
route10,ParkingCutIn_3,ParkingCutIn,21328,-1,36,4017,1,5.85609,0.27477,21.312,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021328.npz
route10,ParkingCutIn_3,ParkingCutIn,21332,-1,36,4017,1,5.49237,0.61716,8.899,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021332.npz
